Tm,#Bat,OBP,W,L,W-L%
Arizona Diamondbacks,57,0.304,74,88,0.457
Atlanta Braves,53,0.317,101,61,0.623
Baltimore Orioles,58,0.305,83,79,0.512
Boston Red Sox,54,0.321,78,84,0.481
Chicago Cubs,64,0.311,74,88,0.457
Chicago White Sox,44,0.31,81,81,0.5
Cincinnati Reds,66,0.304,62,100,0.383
Cleveland Guardians,50,0.316,92,70,0.568
Colorado Rockies,43,0.315,68,94,0.42
Detroit Tigers,53,0.286,66,96,0.407
Houston Astros,45,0.319,106,56,0.654
Kansas City Royals,55,0.306,65,97,0.401
Los Angeles Angels,66,0.297,73,89,0.451
Los Angeles Dodgers,51,0.333,111,51,0.685
Miami Marlins,56,0.294,69,93,0.426
Milwaukee Brewers,51,0.315,86,76,0.531
Minnesota Twins,61,0.317,78,84,0.481
New York Mets,61,0.332,101,61,0.623
New York Yankees,54,0.325,99,63,0.611
Oakland Athletics,64,0.281,60,102,0.37
Philadelphia Phillies,56,0.317,87,75,0.537
Pittsburgh Pirates,68,0.291,62,100,0.383
San Diego Padres,55,0.318,89,73,0.549
Seattle Mariners,59,0.315,90,72,0.556
San Francisco Giants,66,0.315,81,81,0.5
St. Louis Cardinals,51,0.325,93,69,0.574
Tampa Bay Rays,61,0.309,86,76,0.531
Texas Rangers,55,0.301,68,94,0.42
Toronto Blue Jays,51,0.329,92,70,0.568
Washington Nationals,55,0.31,55,107,0.34
League Average,50,0.312,81,81,0.5
,1495,0.312,2430,2430,0.5